Text,Main_Class,Sub_Class
"In French Virologist Christine Rouzioux Sarte, Rheims, Moselle.”",Forum,COVID-19
Re: The Covid Covid,Forum,COVID-19
"LONDON, England, June Life Site News) The Delta COVID Public Health England",Forum,COVID-19
"Just Marxist Delta"" China-disease Covid-19",Forum,COVID-19
Beware Delta Beta Covid-19 So Science Covid-19,Forum,COVID-19
"While China Then, CDC WHO Covid",Forum,COVID-19
This It's Bill Gates Fauci.,Forum,COVID-19
"As Delta Variant"" India, Europe, United States, In Israel, Delta Variant Delta Plus,"" MORE Covid-19. Sure. The",Forum,COVID-19
"In India, Covid The Covid-19, All It's Covid",Forum,COVID-19
"The CDC WHO Delta Variant BLOCK Wuhan China, NIH Fauci-led",Forum,COVID-19
"The Delta Variant Delta Variant"" Here",Forum,COVID-19
Only Indians That's Especially,Forum,COVID-19
"People This Delta Variant"" PCR Delta Variant Test, Get It's",Forum,COVID-19
PM Calls Unvaxxed Public Health Risk”,Forum,COVID-19
PM Calls Unvaxxed Public Health Risk”,Forum,COVID-19
"Australia: PM Calls Unvaxxed Public Health Risk,” Demands Private Companies Punish Them QR Codes",Forum,COVID-19
"The Australian Scott Morrison,",Forum,COVID-19
Despite Coalition Covid Morrison,Forum,COVID-19
The QR Australian Immunisation The,Forum,COVID-19
Italian MP Sara Cunial Exposes Bill Gates Coronavirus Hoax Parliament,Forum,COVID-19
"Fortune Big Pharma, Big Tech?",Forum,COVID-19
Italian MP Sara Cunial Exposes Bill Gates Coronavirus Hoax Parliament,Forum,COVID-19
By NLP. With So Phase Phase ESM.,Forum,COVID-19
We As You To,Forum,COVID-19
"And WHO, Bill Gates. We",Forum,COVID-19
"Bill Gates Event Davos,",Forum,COVID-19
"He If He Only Thanks Africa India, Dtap",Forum,COVID-19
"Likewise, GMO All RNA 5G USA.",Forum,COVID-19
"So Deep State Italian There’s Sanofi Glaxo, Guerra, Ricciardi They There Roman Engineering, Mantoan, European Agenda ID2020 ID. Fouund Renzi IBM.",Forum,COVID-19
"Renzi, I Gates Global Foundation. There Aspen Sasson Colao Bilderberg Club",Forum,COVID-19
"There Medtronic Arcuri The Italian International Alliance Coronavirus Gavi Alliance, Gates Foundation. And European Commission I’ve",Forum,COVID-19
"In I’m Mr. President, Conte: Dear President Conte, Bill Gates, International Penal Court Humanity Thank",Forum,COVID-19
Re: Italian MP Sara Cunial Exposes Bill Gates Coronavirus Hoax Parliament,Forum,COVID-19
"So, Canada’s PCR America’s? All",Forum,COVID-19
Over Westphalian Times Canada COVID-19 COVID,Forum,COVID-19
"The Westphalian Times US UK, Canadian COVID-19 Canadians COVID",Forum,COVID-19
"We Alberta, Ontario, Quebec, British Columbia, Manitoba, Nova Scotia, Saskatchewan, New Brunswick PCR COVID.",Forum,COVID-19
"Only Quebec Manitoba, Ct",Forum,COVID-19
"Ontario, British Columbia, Nova Scotia, Saskatchewan PCR British Columbia However, Saskatchewan Journal Clinical Virology PCR",Forum,COVID-19
It British Columbia Saskatchewan. Alberta New Brunswick,Forum,COVID-19
Bill Gates Warns Future Pandemics,Forum,COVID-19
Bill Gates Warns Future Pandemics,Forum,COVID-19
Michael Jordan The Economics Coronavirus,Forum,COVID-19
Michael Jordan The Economics Coronavirus,Forum,COVID-19
The Wuhan (COVID-19). There The,Forum,COVID-19
"His Chicago Scottie Pippen Probably I've Jordan ""I Not Finals Said Bulls Phil Jackson: This",Forum,COVID-19
This The New York Times December,Forum,COVID-19
Cases Centers Disease Control Prevention,Forum,COVID-19
"From Center Disease Control,",Forum,COVID-19
The (P&I) U.S. December February,Forum,COVID-19
The COVID Fraud Will Not Stay Hidden Forever,Forum,COVID-19
"The COVID COVID. They COVID COVID, They COVID",Forum,COVID-19
"In Britain, One Daily Mail. In Britain, Canada",Forum,COVID-19
"The They There Meanwhile, COVID-19 US, Canada, India. This COVID",Forum,COVID-19
Then Dr. Anthony Fauci COVID He He Now Gates’ This He Schwab’s Great Reset,Forum,COVID-19
Effectiveness Adding Mask Recommendation Other Public Health Measures Prevent S A R S- Co V-2 Infection Danish Mask Wearers A Randomized Controlled Trial,Forum,COVID-19
Background: Observational SARS-CoV-2). It,Forum,COVID-19
Objective: To SARS-CoV-2,Forum,COVID-19
Measurements: The SARS-CoV-2 (PCR),Forum,COVID-19
"Results: A Infection SARS-CoV-2 The CI, PCI, P Multiple Although C Is",Forum,COVID-19
The SARS-CoV-2 the conclusion,Forum,COVID-19
Primary The Salling Foundations.,Forum,COVID-19
Why Russia Sputnik V COVID-19,Forum,COVID-19
Russia's Sputnik V Gamaleya,Market,COVID-19
Seniors DYING LIKE FLIES COVID,Market,COVID-19
Another Foreigner Arrested Defrauding Coronavirus Relief Fund,Forum,COVID-19
PCR Test Casedemic’: How Technocrats Intentionally Weaponized Bad Science,Market,COVID-19
"Those Who Died From Virus Had Other Illness, Italy Says",Market,COVID-19
Bill Gates Warns Future Pandemics,Forum,COVID-19
President Trump Be Released From Walter Reed,Forum,COVID-19
White House Updates Public Trump's Health,Forum,COVID-19
"Combatting Misinformation, Fake News News Bias",Forum,COVID-19
RUSSIAN AND CHINESE DISINFORMATION CAMPAIGNS,Forum,COVID-19
Bio N Tech Covid-19 Europe,Market,COVID-19
"German Bio N Tech, Pfizer Covid",Market,COVID-19
An RNA Germany Der Spiegel,Market,COVID-19
"In Europe,” Bio N Tech Ozlem Tureci, German We",Forum,COVID-19
Book Published Before Coronavirus Hoax Began Describes Most What Followed Next,Forum,COVID-19
"In Covid-19 Chinese Wuhan, Steven Taylor, Australian University British Columbia Vancouver, The Psychology Pandemics.",Forum,COVID-19
Even But Lonely Planet,Market,COVID-19
The Chapter Vaccine Taylor Guardian.,Forum,COVID-19
"Despite Taylor That, Delta",Forum,COVID-19
"Dr. Astrid Stückelberger Bill Gates, World Health Organization (WHO), Wuhan Covid-19)",Forum,COVID-19
"A WHO Dr. Stückelberger United Nations Much U.S. Centers Disease Control Prevention (CDC), WHO Big Pharma Bill Melinda Gates Foundation.",Forum,COVID-19
"As University Applied Sciences Switzerland Institute Global Health Faculty Medicine University Geneva, Dr. Stückelberger WHO",Forum,COVID-19
In WHO WHO With Chinese WHO Iran United States President Donald Trump.,Forum,COVID-19
"Behind Gates GAVI, Wu Flu WHO And WHO",Forum,COVID-19
"It WHO,” Dr. Stückelberger WHO So, It",Forum,COVID-19
"Dr. Stückelberger Gates Switzerland GAVI, WHO",Forum,COVID-19
Even Gates WHO. He,Forum,COVID-19
As Gates Wuhan Covid-19) Event This,Forum,COVID-19
Dr. Stückelberger WHO She WHO,Forum,COVID-19
We Need Vaccination Rate,Forum,COVID-19
"After Getting His First Booster, Biden Now Says We Need Vaccination Rate",Market,COVID-19
"This Johnson Johnson (J&J) Company CEO Alex Gorsky CNBC Chinese Unfortunately, Gorsky Meg Tirrell Healthy Returns Spotlight""",Forum,COVID-19
Every If Gorsky Americans Wuhan (COVID-19),Forum,COVID-19
"What Gorsky Big Pharma ""I Gorsky",Forum,COVID-19
The Gorsky American Big Pharma There,Forum,COVID-19
"Going Thomas Centers Disease Control Prevention (CDC), ""I More Chinese Pandemic.news. Sources Zero Hedge.com Natural News.com",Forum,COVID-19
Move Big Pharma: BIG COVID,Market,COVID-19
"The Wuhan (COVID-19) On Feb. The Wall Street Journal (WSJ) As Covid-19 Vaccines Raise Hope, Cold Reality Dawns That Illness Is Likely Here Stay"" Chinese In Chinese",Forum,COVID-19
"WSJ Daniela Hernandez Drew Hinshaw Chinese COVID-19 HIV."" The Only Wu Flu",Forum,COVID-19
"Going Thomas U.S. Centers Disease Control Prevention. ""I",Forum,COVID-19
In They American Some,Forum,COVID-19
"According WSJ, COVID-19 It",Forum,COVID-19
"New Jersey-based Quest Diagnostics Inc.,",Forum,COVID-19
"We Jiwon Lim, South Korea-based SD Biosensor, Inc., Wuhan (COVID-19) Switzerland-based Novartis International AG Eli Lilly Co. Chinese Some Chinese",Forum,COVID-19
"Coexistence WSJ They Wake America!"" If Pandemic.news. Sources Archive.fo Natural News.com",Forum,COVID-19
The COVID Fraud Will Not Stay Hidden Forever,Forum,COVID-19
The COVID Fraud Will Not Stay Hidden Forever,Forum,COVID-19
"The COVID COVID. They COVID COVID, They COVID",Forum,COVID-19
Now COVID I COVID.,Forum,COVID-19
"In Britain, One Daily Mail. In Britain, Canada",Forum,COVID-19
"The They There Meanwhile, COVID-19 US, Canada, India. This COVID",Forum,COVID-19
Then Dr. Anthony Fauci COVID He He Now Gates’ This He Schwab’s Great Reset,Forum,COVID-19
RUSSIAN AND CHINESE DISINFORMATION CAMPAIGNS,Forum,COVID-19
RUSSIAN AND CHINESE DISINFORMATION CAMPAIGNS,Forum,COVID-19
RUSSIAN AND CHINESE DISINFORMATION CAMPAIGNS,Forum,COVID-19
"PROOF THAT THE RUSSIANS AND CHINESE ARE EXECUTING DISINFORMATION CAMPAIGNS FOR PSYCHOLOGICAL ECONOMIC WARFARE TO DEMORALIZE THE UNITED STATES AND HER ALLIES IN A LONG DRAWN OUT PROCESS. NORMALIZING CRISIS(ES), SUCH AS THE COVID-19 CORONAVIRUS PANDEMIC.",Forum,COVID-19
The Russians Chinese SOCIAL MEDIA FEAR PANIC AMERICA ALLIES.,Forum,COVID-19
THESE DISINFORMATION CAMPAIGNS BY THE RUSSIAN AND CHINESE GOVERNMENTS AND ORGANIZATIONS ASSOCIATED WITH THEM INFLUENCE THE PEOPLE TO VOTE THE WAY THEY WANT THEM TO. THEY WANT THE AMERICAN PEOPLE TO NOT TRUST THEIR GOVERNMENT INSTITUTIONS FOR IMPORTANT INFORMATION.,Forum,COVID-19
WITH THESE DISINFORMATION CAMPAIGNS ITS HARD TO KNOW FACT FROM FICTION ANYMORE.,Forum,COVID-19
TRUMP IS SUPPORTED BY THE RUSSIANS.,Forum,COVID-19
FACT CHECK EVERYTHING AND EVERYONE.,Forum,COVID-19
"BIDEN IS ALSO VERY CORRUPT AND IS A PUPPET FOR THE CRONIES AROUND HIM. REMEMBER, THESE CAUSES TRULY SERVE OUR FOREIGN ADVERSARIES TO DEMORALIZE OUR NATION. BIDEN IS SUPPORTED BY THE CHINESE. Biden's Clinton's Obama's Hunter Biden",Forum,COVID-19
SCOPE OF THESE DISINFORMATION CAMPAIGNS:,Forum,COVID-19
"PLATFORMS OF DISINFORMATION: NEWS MEDIA, SOCIAL MEDIA, FAKE NEWS WEBSITES",Forum,COVID-19
"PERPETRATORS: The Chinese Communist Party Government, The Russian Federation Government",Forum,COVID-19
SCOPE OF DISINFORMATION/MISINFORMATION CAMPAIGNS:,Forum,COVID-19
Where's Green Party Candidate?,Forum,COVID-19
Where's Constitution Party Candidate?,Forum,COVID-19
No Entry Anywhere Unvaxxed Humans,Forum,COVID-19
Unvaccinated People Need Controlled Restricted”,Forum,COVID-19
Door-to- Door Vaxx Police,Forum,COVID-19
Half Coronavirus Deaths Vaccinated People,Forum,COVID-19
Jews Outraged That Young Americans Avoiding Their Deadly Vaxx!,Forum,COVID-19
Secretly Installed COVID-19 Tracking App,Forum,COVID-19
Sort Author Post Replies Subject Views,Forum,COVID-19
Human Russian Covid-19 FORCED,Forum,COVID-19
"Ombudsman Tatiana Moskalkova, Vesti FM Moscow, St Petersburg In Russian",Forum,COVID-19
Why RNA?,Forum,COVID-19
By Umair Irfan Aug EDT,Forum,COVID-19
The R N A. Rather That DNA RNA,Forum,COVID-19
Once DNA RNA That’s,Forum,COVID-19
"If Rahul Gupta, March Dimes, National Press Foundation August So",Forum,COVID-19
Researchers On Pfizer R N A-based Nature. Moderna R N A Covid-19.,Forum,COVID-19
"Meanwhile, Oxford University’s Jenner Institute Astra Zeneca It",Forum,COVID-19
Under R N A DNA The R N A,Forum,COVID-19
According Centers Disease Control Prevention (CDC) R N A R N A DNA CDC The CDC R N A DNA Mission- Impossible-style R N A,Forum,COVID-19
"A December S A R S- Co V-2, Harvard Massachusetts Institute Technology (MIT), RNA",Forum,COVID-19
This It At America Somebody The They’re Once,Forum,COVID-19
NOTE: This Of It’s We This You,Forum,COVID-19
"Don’t Don’t Christs Agency, Freedom, Liberty",Forum,COVID-19
Cases Centers Disease Control Prevention,Forum,COVID-19
"From Center Disease Control,",Forum,COVID-19
The (P&I) U.S. December February,Forum,COVID-19
DO NOT GET VACCINATED!,Forum,COVID-19
"Fortune Big Pharma, Big Tech?",Forum,COVID-19
It´s There Virus Corona,Forum,COVID-19
My Italy I She February. What This And Italy News Another Those Italy Africa. I,Forum,COVID-19
"This Resource Lock-down, People No Corona Most Either Kill",Forum,COVID-19
"The For They That's If So, He So, I I Chlorine Dioxide. Over Clinical",Forum,COVID-19
I'm Here KY But,Forum,COVID-19
Unvaccinated Student Banned Attending Classes Rutgers University,Forum,COVID-19
A New Jersey Rutgers University,Forum,COVID-19
One Not Cold War” War Terror” A,Forum,COVID-19
"Nazism Stalinism Numerous Manson Jim Jones’ People’s Temple, Church Scientology, Heavens Gate, Helter Skelter, Christian Communism, Xenu Galactic Confederacy,",Forum,COVID-19
Re: The Covidian Cult,Forum,COVID-19
COVID-19: Pandemic? Or Cult?,Forum,COVID-19
Sort Author Post Subject,Forum,COVID-19
"Fortune Big Pharma, Big Tech?",Forum,COVID-19
"Fake Tests, Fake Bodies, Fake Pandemic: All Keep People Fear",Forum,COVID-19
Michael Jordan The Economics Coronavirus,Forum,COVID-19
Coronavirus: Ten Things Think,Forum,COVID-19
Why Russia Sputnik V COVID-19,Forum,COVID-19
Italian MP Sara Cunial Exposes Bill Gates Coronavirus Hoax Parliament,Forum,COVID-19
Sort Author Post Replies Subject Views,Forum,COVID-19
"Fortune Big Pharma, Big Tech?",Forum,COVID-19
Unmasking Big Lies Rigged Covid-19 Vaccine” Studies Jab Propaganda Manufactured,Forum,COVID-19
"Much Pfizer/ Bio N Tech, Moderna, Astra Zeneca Johnson Johnson’s Covid-19. Figures These",Forum,COVID-19
Before Instead Enron’s What,Forum,COVID-19
"I I Johns Hopkins University Covid-19 Instantly, I This Covid-19 Coronavirus",Forum,COVID-19
This CDC If To Covid-19. At SARS- Cov-2.,Forum,COVID-19
"Dogs At University Pennsylvania,",Forum,COVID-19
They CDC Announces All Travellers Must Wear TWO Masks Face Arrest,Forum,COVID-19
The Center Disease Control DOUBLE United States.,Forum,COVID-19
"Fortune Big Pharma, Big Tech?",Forum,COVID-19
Unvaccinated Austrians Follow DW,Forum,COVID-19
Coroner BBC Astra Zeneca Covid-19,Forum,COVID-19
A BBC Radio Lisa Shaw Astra Zeneca’s Covid-19,Forum,COVID-19
Shaw Astra Zeneca’s She,Market,COVID-19
Coroner Karen Dilks Shaw Astra Zeneca Covid,Market,COVID-19
Reasons I Won’t Be Getting Covid Vaccine,Forum,COVID-19
Defy Covid Mandates And Vaccines,Forum,COVID-19
"Denmark, Norway, Iceland Astra Zeneca",Forum,COVID-19
Covid Vaccine’ Deaths And Injury Reports,Forum,COVID-19
The COVID Fraud Will Not Stay Hidden Forever,Forum,COVID-19
Sort Author Post Replies Subject Views,Forum,COVID-19
Died They Azithromicyn Trump Purely,Forum,COVID-19
"For I RNA I Corona But, I The Jews That's",Forum,COVID-19
Re: DO NOT GET VACCINATED!,Forum,COVID-19
Sort Author Post Subject,Forum,COVID-19
Fauci Reportedly Briefed Health Leaders Potential Lab Leak' Unusual' COVID Strain,Forum,COVID-19
Fauci Reportedly Briefed Health Leaders Potential Lab Leak' Unusual' COVID Strain,Forum,COVID-19
"Republican Anthony Fauci COVID-19 Buzz Feed,",Forum,COVID-19
"As COVID-19 Food Drug Administration, Scott Gottlieb, Dr. Anthony Fauci",Forum,COVID-19
"The US Wuhan, China, Gottlieb, CBS’s Face Nation",Forum,COVID-19
"The FDA President Donald Trump, Trump Fauci's",Forum,COVID-19
"Gottlieb, Fauci’s The FDA Uncontrolled Spread: Why COVID-19 Crushed US How We Can Defeat Next Pandemic'",Forum,COVID-19
"Last Dr. Fauci Europe World Health Assembly, Gottlieb",Forum,COVID-19
Further CBS FDA US,Forum,COVID-19
"Former Food Drug Administration (FDA) Commissioner Scott Gottlieb, China, COVID",Forum,COVID-19
He The Wuhan Institute Virology November,Forum,COVID-19
US Wuhan Institute COVID-19 Chinese Foreign Ministry,Forum,COVID-19
Re: Fauci Reportedly Briefed Health Leaders Potential Lab Leak' Unusual' COVID Strain,Forum,COVID-19
Ways Fauci Emails Expose Trail Manipulation Deception,Forum,COVID-19
The SARS-Co-V-2 Twitter June Buzz Feed News Dr. Anthony Fauci.,Forum,COVID-19
"Emails Dr. Kristian Andersen, The Proximal Origin S A R S- Co V-2,” March Nature, Fauci COVID. Five Andersen",Forum,COVID-19
"The Fauci COVID, COVID",Forum,COVID-19
Re: Fauci Reportedly Briefed Health Leaders Potential Lab Leak' Unusual' COVID Strain,Forum,COVID-19
Dr. Anthony Fauci That's Liberals COVID. Article Matt Vespa Town Hall.com) The The,Forum,COVID-19
"States The It's COVID Trump, It Trump Operation Warp Speed. The Trump",Forum,COVID-19
"But The It's It So, I",Forum,COVID-19
"The Centers Disease Control Prevention (CDC) Delta We're There's COVID MSNBC, CNN,",Forum,COVID-19
"I Dr. Anthony Fauci MSNBC. A What? That Also, Store-bought COVID.",Forum,COVID-19
"Fauci Also, Sen. Rand Paul (R-KY)",Forum,COVID-19
"Well, Rand The COVID And The",Forum,COVID-19
Re: Fauci Reportedly Briefed Health Leaders Potential Lab Leak' Unusual' COVID Strain,Forum,COVID-19
The Smoking Gun: Fauci NIH Knew Covid-19 Vaccines” Could Lead Antibody- Dependent Enhancement,Forum,COVID-19
Three I Dr. Robert Malone’s Antibody- Dependent Enhancement Covid-19 That,Forum,COVID-19
The RNA Covid-19 Instead Dr. Malone ADE,Forum,COVID-19
Late John Wiley Sons NIH’s The Covid-19 Antibody- Dependent Enhancement Dr. Malone Not Dr. Malone,Forum,COVID-19
Re: Fauci Reportedly Briefed Health Leaders Potential Lab Leak' Unusual' COVID Strain,Forum,COVID-19
Cult- Owned Fascist Criminal Fauci Dismisses Freedom’ In Call For Vaccine Mandates: The Time Has Come. Enough Is Enough’,Forum,COVID-19
After FDA Pfizer COVID Anthony Fauci CNN,Forum,COVID-19
Fauci “I I Enough We’ve,Forum,COVID-19
"The United States Centers Disease Control Prevention (CDC) Nebraska Wuhan Covid-19). Joining CDC Food Drug Administration (FDA) Pfizer Bio N Tech's China Donald Trump's Operation Warp Speed""",Forum,COVID-19
"Typically, Covid-19 Dr. Gary Anthone, Nebraska's While I In Anthone Covid-19",Forum,COVID-19
"The The Vaccine Adverse Event Reporting System (VAERS), It VAERS This CDC FDA Nebraska",Forum,COVID-19
"As CDC Chinese The Meanwhile, Anthone Chinese",Forum,COVID-19
The Nebraska Israeli Health Ministry In,Forum,COVID-19
Look Pitching And It We People,Forum,COVID-19
"Just Wuhan Covid-19) Dr. Witold Rogiewicz, Polish The Dr. Rogiewicz While Dr. Rogiewicz Vaccinate",Forum,COVID-19
"He Chinese And IPolish. If Bill Gates, I 5G I I I",Forum,COVID-19
"Dr. Rogiewicz Within Bill Gates' Dr. Rogiewicz's At Collaborator, Dr. Witold Rogiewicz, VIP Clinic",Forum,COVID-19
"We We We Witek, The Dr. Rogiewicz's",Forum,COVID-19
"Much Covid-19, Dr. Rogiewicz's The Wuhan Covid-19)",Forum,COVID-19
As Hopefully Dr. Rogiewicz's,Forum,COVID-19
Perhaps All Dr. Rogiewicz,Forum,COVID-19
Why I Because Twitter Chinese His If Wu Flu,Forum,COVID-19
Ohio DIED TWO DOSES Moderna,Forum,COVID-19
