Text,Main_Class,Sub_Class,scam,link
Shedding Spreading Genetic Vaccines,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_40_/
Shedding Spreading Genetic Vaccines,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_40_/
Shedding Spreading Genetic Vaccines,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_40_/
"Journalists Pfizer However, It’s",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_40_/
It For Moderna RNA-based Exosomes It,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_40_/
The DNA The SPIONs),Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_36_/
SPIONs Valuable,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_36_/
The Numerous The Fe3 O4,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_36_/
The We Fe3 O4-based SPIONs Oe,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_36_/
Naked SPIONs In SPIONs SPIONs,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_36_/
Polyethylenimine SPIONs DNA,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_36_/
DO NOT GET VACCINATED!,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_22_/
"I Am I I UNEQUIVOCALLY N C B I/ Pubmed, I",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_22_/
"YOU HAVE BEEN CONDITIONED TO JERK OFF TO PORN, CONSUME AND DESTROY YOUR OWN HEALTH FOR INSTANT GRATIFICATION.",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_22_/
They FOOD EAT MEAT FRESH VEGETABLES AVOID EVERYTHING ELSE.,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_22_/
"They Proteins Phenylalanine, Tyrosine Dopamine Tryptophan Not Glycine",Market,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_22_/
Speaking Schizophrenia TRPV1 I FAAH COMT,Market,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_22_/
PLEASE BE SAFE...THERE IS A LOT OF INFO OUT THERE..HONE YOUR SKILLS IN CYBERSECURITY AND BIOMED.,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_22_/
My She Shes Havent NEW SOUTH WALES I They,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_22_/
Coronavirus: Dozens M Ps Covid,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_46_/
Former Labour Jeremy Corbyn Tory Iain Duncan Smith M Ps Covid England.,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_46_/
It Daily Telegraph Covid,Market,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_46_/
"Prime Minister Boris Johnson England,",Market,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_46_/
Culture Secretary Oliver Dowden,Market,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_46_/
But M Ps Covid,Market,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_46_/
The Mr Corbyn’s Covid Research Group Conservative MPs,Market,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_46_/
Accusing Liberal Democrats Sir Ed Davey As Vaccine Covid ID,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_46_/
"Sir Graham Brady, Committee Tory M Ps, With",Market,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_46_/
RUSSIAN AND CHINESE DISINFORMATION CAMPAIGNS,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_69_/
"PROOF THAT THE RUSSIANS AND CHINESE ARE EXECUTING DISINFORMATION CAMPAIGNS FOR PSYCHOLOGICAL ECONOMIC WARFARE TO DEMORALIZE THE UNITED STATES AND HER ALLIES IN A LONG DRAWN OUT PROCESS. NORMALIZING CRISIS(ES), SUCH AS THE COVID-19 CORONAVIRUS PANDEMIC.",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_69_/
The Russians Chinese SOCIAL MEDIA FEAR PANIC AMERICA ALLIES.,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_69_/
THESE DISINFORMATION CAMPAIGNS BY THE RUSSIAN AND CHINESE GOVERNMENTS AND ORGANIZATIONS ASSOCIATED WITH THEM INFLUENCE THE PEOPLE TO VOTE THE WAY THEY WANT THEM TO. THEY WANT THE AMERICAN PEOPLE TO NOT TRUST THEIR GOVERNMENT INSTITUTIONS FOR IMPORTANT INFORMATION.,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_69_/
KGB Yuri Bezmenov's America Man From Call Duty: Black Ops Cold War,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_69_/
FULL INTERVIEW OF KGG DEFECTOR YURI BEZMENOV,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_69_/
"THEORY: ALSO, ISNT IT ODD THAT PRESIDENT TRUMP HAS A TRUMP TOWER IN MOSCOW, COULD HE ACTUALLY BE A RUSSIAN AGENT THAT WANTS TO CAUSE CHAOS ON PURPOSE? WHO KNOWS?",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_69_/
WITH THESE DISINFORMATION CAMPAIGNS ITS HARD TO KNOW FACT FROM FICTION ANYMORE.,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_69_/
TRUMP IS SUPPORTED BY THE RUSSIANS.,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_69_/
FACT CHECK EVERYTHING AND EVERYONE.,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_69_/
"BIDEN IS ALSO VERY CORRUPT AND IS A PUPPET FOR THE CRONIES AROUND HIM. REMEMBER, THESE CAUSES TRULY SERVE OUR FOREIGN ADVERSARIES TO DEMORALIZE OUR NATION. BIDEN IS SUPPORTED BY THE CHINESE. Biden's Clinton's Obama's Hunter Biden",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_69_/
SCOPE OF THESE DISINFORMATION CAMPAIGNS:,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_69_/
"PLATFORMS OF DISINFORMATION: NEWS MEDIA, SOCIAL MEDIA, FAKE NEWS WEBSITES",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_69_/
"PERPETRATORS: The Chinese Communist Party Government, The Russian Federation Government",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_69_/
SCOPE OF DISINFORMATION/MISINFORMATION CAMPAIGNS:,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_69_/
"Also, Republicans Democrats? More Republican Democrat",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_69_/
Where's Green Party Candidate?,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_69_/
Where's Constitution Party Candidate?,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_69_/
"In Democrat Republican TV NBC, CNN, FOX)?",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_69_/
Are Constitutional Democratic Republic,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_69_/
"Please I I However, China Black Asian Latin Caucasian LGBT All Lives Matter. Activists I",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_69_/
I WE NEED TO BE EDUCATED AND DO SOMETHING ABOUT THIS NOW. AN EDUCATED CITEZENRY IS THE BEST DEFENSE OF A CONSTITUTIONAL DEMOCRACY!,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_69_/
Re: RUSSIAN AND CHINESE DISINFORMATION CAMPAIGNS,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_69_/
"The Covid British However, Dr. Luc Nobel Retrovirology Lab Pasteur Institute",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_35_/
Dr. Antibody- Dependent Enhancement” (ADE). Prof.,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_35_/
European Medicines Agency. The COVID-19,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_35_/
"In French Virologist Christine Rouzioux Sarte, Rheims, Moselle.”",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_35_/
Re: The Covid Covid,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_35_/
"LONDON, England, June Life Site News) The Delta COVID Public Health England",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_35_/
"Just Marxist Delta"" China-disease Covid-19",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_35_/
Beware Delta Beta Covid-19 So Science Covid-19,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_35_/
"While China Then, CDC WHO Covid",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_35_/
This It's Bill Gates Fauci.,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_35_/
"As Delta Variant"" India, Europe, United States, In Israel, Delta Variant Delta Plus,"" MORE Covid-19. Sure. The",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_35_/
"In India, Covid The Covid-19, All It's Covid",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_35_/
"The CDC WHO Delta Variant BLOCK Wuhan China, NIH Fauci-led",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_35_/
"The Delta Variant Delta Variant"" Here",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_35_/
Only Indians That's Especially,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_35_/
"People This Delta Variant"" PCR Delta Variant Test, Get It's",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_35_/
PM Calls Unvaxxed Public Health Risk”,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_24_/
PM Calls Unvaxxed Public Health Risk”,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_24_/
"Australia: PM Calls Unvaxxed Public Health Risk,” Demands Private Companies Punish Them QR Codes",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_24_/
"The Australian Scott Morrison,",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_24_/
Despite Coalition Covid Morrison,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_24_/
The QR Australian Immunisation The,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_24_/
Italian MP Sara Cunial Exposes Bill Gates Coronavirus Hoax Parliament,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_55_/
"Fortune Big Pharma, Big Tech?",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_55_/
Italian MP Sara Cunial Exposes Bill Gates Coronavirus Hoax Parliament,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_55_/
By NLP. With So Phase Phase ESM.,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_55_/
We As You To,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_55_/
"And WHO, Bill Gates. We",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_55_/
"Bill Gates Event Davos,",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_55_/
"He If He Only Thanks Africa India, Dtap",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_55_/
"Likewise, GMO All RNA 5G USA.",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_55_/
"So Deep State Italian There’s Sanofi Glaxo, Guerra, Ricciardi They There Roman Engineering, Mantoan, European Agenda ID2020 ID. Fouund Renzi IBM.",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_55_/
"Renzi, I Gates Global Foundation. There Aspen Sasson Colao Bilderberg Club",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_55_/
"There Medtronic Arcuri The Italian International Alliance Coronavirus Gavi Alliance, Gates Foundation. And European Commission I’ve",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_55_/
"In I’m Mr. President, Conte: Dear President Conte, Bill Gates, International Penal Court Humanity Thank",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_55_/
Re: Italian MP Sara Cunial Exposes Bill Gates Coronavirus Hoax Parliament,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_55_/
"So, Canada’s PCR America’s? All",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_38_/
Over Westphalian Times Canada COVID-19 COVID,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_38_/
"The Westphalian Times US UK, Canadian COVID-19 Canadians COVID",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_38_/
"We Alberta, Ontario, Quebec, British Columbia, Manitoba, Nova Scotia, Saskatchewan, New Brunswick PCR COVID.",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_38_/
"Only Quebec Manitoba, Ct",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_38_/
"Ontario, British Columbia, Nova Scotia, Saskatchewan PCR British Columbia However, Saskatchewan Journal Clinical Virology PCR",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_38_/
It British Columbia Saskatchewan. Alberta New Brunswick,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_38_/
Bill Gates Warns Future Pandemics,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_51_/
Bill Gates Warns Future Pandemics,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_51_/
Michael Jordan The Economics Coronavirus,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_70_/
Michael Jordan The Economics Coronavirus,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_70_/
The Wuhan (COVID-19). There The,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_70_/
"His Chicago Scottie Pippen Probably I've Jordan ""I Not Finals Said Bulls Phil Jackson: This",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_70_/
This The New York Times December,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_70_/
Cases Centers Disease Control Prevention,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_70_/
"From Center Disease Control,",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_70_/
The (P&I) U.S. December February,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_70_/
